UEFA EURO 2012 Tabell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Første runde,,,,,,,Gruppe A,V,U,U,F - M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Pnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Jun,18:00,Warsaw (POL),Polen,2,1,Hellas,Gruppe A,,,Russland,1,2,0,5 - 3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Jun,20:45,Wroclaw (POL),Russland,2,0,Tsjekkia,Gruppe A,,,Polen,1,2,0,6 - 5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Jun,18:00,Kharkiv (UKR),Nederland,2,0,Danmark,Gruppe B,,,Tsjekkia,1,1,1,4 - 4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Jun,20:45,Lviv (UKR),Tyskland,1,1,Portugal,Gruppe B,,,Hellas,0,1,2,2 - 5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Jun,18:00,Gdansk (POL),Spania,1,1,Italia,Gruppe C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Jun,20:45,Poznan (POL),Republikken Irland,0,2,Kroatia,Gruppe C,,,Gruppe B,V,U,U,F - M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Jun,18:00,Donetsk (UKR),Frankrike,1,0,England,Gruppe D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Jun,20:45,Kyiv (UKR),Ukraina ,2,2,Sverige,Gruppe D,,,Nederland,2,1,0,4 - 1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Jun,18:00,Wroclaw (POL),Hellas,0,2,Tsjekkia,Gruppe A,,,Tyskland,1,2,0,4 - 2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Jun,20:45,Warsaw (POL),Polen,2,2,Russland,Gruppe A,,,Danmark,1,0,2,1 - 4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Jun,18:00,Lviv (UKR),Danmark,1,0,Portugal,Gruppe B,,,Portugal,0,1,2,1 - 3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Jun,20:45,Kharkiv (UKR),Nederland,1,1,Tyskland,Gruppe B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Jun,18:00,Poznan (POL),Italia,1,1,Kroatia,Gruppe C,,,Gruppe C,V,U,U,F - M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Jun,20:45,Gdansk (POL),Spania,2,0,Republikken Irland,Gruppe C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Jun,18:00,Donetsk (UKR),Ukraina ,1,2,Frankrike,Gruppe D,,,Spania,1,2,0,4 - 2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Jun,20:45,Kyiv (UKR),Sverige,1,0,England,Gruppe D,,,Kroatia,1,2,0,4 - 2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
